URI,ASN,IP Prefix,Max Length,Not Before,Not After
"rsync://repository.lacnic.net/rpki/lacnic/ab793232-1f0d-4b50-8074-7a54afb35c56/83b5e96a3408084201f0f2ffa90da1fdd70109b3.roa",AS27884,190.122.184.0/22,22,2013-09-12 03:00:00,2015-09-12 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/ab793232-1f0d-4b50-8074-7a54afb35c56/83b5e96a3408084201f0f2ffa90da1fdd70109b3.roa",AS27884,2803:c300::/32,32,2013-09-12 03:00:00,2015-09-12 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/80155b96-96e8-452f-899b-c334d2fc54de/4dc5d672a36ce7216ce95c5e04f928751e7d7169.roa",AS52275,179.0.14.0/24,24,2013-09-12 03:00:00,2015-09-12 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/80155b96-96e8-452f-899b-c334d2fc54de/4dc5d672a36ce7216ce95c5e04f928751e7d7169.roa",AS52275,200.13.42.0/23,23,2013-09-12 03:00:00,2015-09-12 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/80155b96-96e8-452f-899b-c334d2fc54de/4dc5d672a36ce7216ce95c5e04f928751e7d7169.roa",AS52275,2801:0:440::/48,48,2013-09-12 03:00:00,2015-09-12 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/ca21871f-3187-4ef8-a970-18312fff0c9c/48a8580bcb3601eeb75018033f3e55f44f2356a5.roa",AS27740,190.108.64.0/21,24,2013-09-04 03:00:00,2015-09-04 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/ca21871f-3187-4ef8-a970-18312fff0c9c/48a8580bcb3601eeb75018033f3e55f44f2356a5.roa",AS27740,190.11.240.0/20,24,2013-09-04 03:00:00,2015-09-04 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/ca21871f-3187-4ef8-a970-18312fff0c9c/48a8580bcb3601eeb75018033f3e55f44f2356a5.roa",AS27740,2800:b30::/31,31,2013-09-04 03:00:00,2015-09-04 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/8bbe14bc-9256-4d25-b04a-35104fa7b8fd/1afa6f4e2877a9ef4e0c9190a8d1dc8aa17fb4ed.roa",AS27765,2800:660::/32,48,2013-09-04 03:00:00,2015-09-04 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/3ad078f1-bd8d-45f8-aa54-bb90a4a430e4/3032811dbf7f9c6e7b924705be4cd34261e842c0.roa",AS27650,190.5.199.16/28,28,2013-09-13 03:00:00,2015-09-13 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/3ad078f1-bd8d-45f8-aa54-bb90a4a430e4/3032811dbf7f9c6e7b924705be4cd34261e842c0.roa",AS27650,190.5.199.32/29,29,2013-09-13 03:00:00,2015-09-13 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/3ad078f1-bd8d-45f8-aa54-bb90a4a430e4/3032811dbf7f9c6e7b924705be4cd34261e842c0.roa",AS27650,190.5.199.8/29,29,2013-09-13 03:00:00,2015-09-13 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/3ad078f1-bd8d-45f8-aa54-bb90a4a430e4/4091c3c003a663e5a93ca177537ce26863ba1d03.roa",AS27817,190.5.199.16/28,28,2013-09-13 16:47:36,2018-09-13 16:47:36
